Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	TS_DEC_DIRECT_ELEC	TS_DEC_HP_ELEC	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_HIGH_TEMP	GAS_STORAGE	H2_STORAGE	DIESEL_STORAGE	GASOLINE_STORAGE	LFO_STORAGE	AMMONIA_STORAGE	METHANOL_STORAGE	CO2_STORAGE	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	GAS_STORAGE_in	GAS_STORAGE_out	H2_STORAGE_in	H2_STORAGE_out	DIESEL_STORAGE_in	DIESEL_STORAGE_out	GASOLINE_STORAGE_in	GASOLINE_STORAGE_out	LFO_STORAGE_in	LFO_STORAGE_out	AMMONIA_STORAGE_in	AMMONIA_STORAGE_out	METHANOL_STORAGE_in	METHANOL_STORAGE_out	CO2_STORAGE_in	CO2_STORAGE_out	
 237			3.878333																											-0.000000	0.001656																																													
 238			3.876482																											-0.000000	0.001075																																													
 239			3.875064																											-0.000000	0.000644																																													
 240			3.874077																											-0.000000	0.000211																																													
 241			3.873128																											-0.000003	0.000177																																													
 242			3.872259																											-0.000003	0.000098																																													
 243			3.871426																											-0.000004	0.000062																																													
 244			3.870440																											-0.000005	0.000217																																													
 245			3.869022																											-0.000008	0.000652																																													
 246			3.866452																											-0.000017	0.001813																																													
 247			3.952234																											-0.090297	0.003742																																													
 248			3.946472																											-0.000000	0.004971																																													
 249			3.941287																											-0.000000	0.004396																																													
 250			3.936182																											-0.000000	0.004317																																													
 251			3.930712																											-0.000000	0.004683																																													
 252			3.924798																											-0.000000	0.005128																																													
 253			3.918911																											-0.000000	0.005102																																													
 254			3.913287																											-0.000000	0.004840																																													
 255			3.907298																											-0.000000	0.005207																																													
 256			3.900865																											-0.000000	0.005652																																													
 257			3.894224																											-0.000000	0.005861																																													
 258			3.888265																											-0.000000	0.005181																																													
 259			3.883903																											-0.000000	0.003585																																													
 260			3.880754																											-0.000000	0.002373																																													
 261			3.878322																											-0.000000	0.001656																																													
 262			3.876471																											-0.000000	0.001075																																													
 263			3.875052																											-0.000000	0.000644																																													
 264			3.874066																											-0.000000	0.000211																																													
 265			3.931353																											-0.058239	0.000177																																													
 266			3.987520																											-0.057051	0.000098																																													
 267			4.070906																											-0.084246	0.000062																																													
 268			4.143000																											-0.073126	0.000217																																													
 269			4.182204																											-0.040684	0.000652																																													
 270			4.084194																											-0.000000	0.097173																																													
 271			3.952557																											-0.000000	0.130821																																													
 272			3.927861																											-0.000000	0.023905																																													
 273			3.922631																											-0.000000	0.004445																																													
 274			3.917507																											-0.000000	0.004340																																													
 275			3.912025																											-0.000000	0.004698																																													
 276			3.906103																											-0.000000	0.005139																																													
 277			3.900211																											-0.000000	0.005111																																													
 278			3.894584																											-0.000000	0.004848																																													
 279			3.888592																											-0.000000	0.005213																																													
 280			3.882157																											-0.000000	0.005657																																													
 281			3.875515																											-0.000000	0.005866																																													
 282			3.869555																											-0.000000	0.005185																																													
 283			3.865193																											-0.000000	0.003588																																													
 284			3.862043																											-0.000000	0.002377																																													
 285			3.859611																											-0.000000	0.001660																																													
 286			3.857761																											-0.000000	0.001079																																													
 287			3.856343																											-0.000000	0.000647																																													
 288			3.874103																											-0.018742	0.000211																																													
 289			4.018386																											-0.145236	0.000177																																													
 290			4.167718																											-0.150234	0.000098																																													
 291			4.317060																											-0.150238	0.000062																																													
 292			4.466201																											-0.150221	0.000217																																													
 293			4.587032																											-0.122377	0.000652																																													
 294			4.627394																											-0.043092	0.001813																																													
 295			4.511175																											-0.000000	0.115294																																													
 296			4.339438																											-0.000000	0.170835																																													
 297			4.196876																											-0.000000	0.141694																																													
 298			4.092324																											-0.000000	0.103712																																													
 299			3.984113																											-0.000000	0.107393																																													
 300			3.843030																											-0.000000	0.140285																																													
 301			3.766443																											-0.000000	0.075819																																													
 302			3.760826																											-0.000000	0.004863																																													
 303			3.754857																											-0.000000	0.005217																																													
 304			3.748448																											-0.000000	0.005658																																													
 305			3.741832																											-0.000000	0.005866																																													
 306			3.735899																											-0.000000	0.005185																																													
 307			3.731564																											-0.000000	0.003588																																													
 308			3.728442																											-0.000000	0.002376																																													
 309			3.726038																											-0.000000	0.001659																																													
 310			3.735944																											-0.011727	0.001075																																													
 311			3.779254																											-0.044701	0.000644																																													
 312			3.874109																											-0.095822	0.000211																																													
 313			4.018393																											-0.145236	0.000177																																													
 314			4.167725																											-0.150234	0.000098																																													
 315			4.317067																											-0.150238	0.000062																																													
 316			4.466207																											-0.150221	0.000217																																													
 317			4.587039																											-0.122377	0.000652																																													
 318			4.627400																											-0.043092	0.001813																																													
 319			4.511181																											-0.000000	0.115294																																													
 320			4.339444																											-0.000000	0.170835																																													
 321			4.196882																											-0.000000	0.141694																																													
 322			4.092330																											-0.000000	0.103712																																													
 323			3.984119																											-0.000000	0.107393																																													
 324			3.843036																											-0.000000	0.140285																																													
 325			3.766449																											-0.000000	0.075819																																													
 326			3.760832																											-0.000000	0.004863																																													
 327			3.754863																											-0.000000	0.005217																																													
 328			3.748454																											-0.000000	0.005658																																													
 329			3.741838																											-0.000000	0.005866																																													
 330			3.735905																											-0.000000	0.005185																																													
 331			3.731570																											-0.000000	0.003588																																													
 332			3.728448																											-0.000000	0.002376																																													
 333			3.726044																											-0.000000	0.001659																																													
 334			3.735950																											-0.011727	0.001075																																													
 335			3.779260																											-0.044701	0.000644																																													
 336			3.874115																											-0.095822	0.000211																																													
 337			3.970953																											-0.097790	0.000177																																													
 338			4.084046																											-0.113985	0.000098																																													
 339			4.167213																											-0.084046	0.000062																																													
 340			4.246672																											-0.080510	0.000217																																													
 341			4.293920																											-0.048749	0.000652																																													
 342			4.264772																											-0.000000	0.028290																																													
 343			4.099364																											-0.000000	0.164554																																													
 344			3.927717																											-0.000000	0.170828																																													
 345			3.822689																											-0.000000	0.104242																																													
 346			3.817599																											-0.000000	0.004325																																													
 347			3.812148																											-0.000000	0.004687																																													
 348			3.806255																											-0.000000	0.005131																																													
 349			3.800390																											-0.000000	0.005104																																													
 350			3.794788																											-0.000000	0.004842																																													
 351			3.788821																											-0.000000	0.005208																																													
 352			3.782410																											-0.000000	0.005653																																													
 353			3.775792																											-0.000000	0.005862																																													
 354			3.769856																											-0.000000	0.005181																																													
 355			3.765516																											-0.000000	0.003585																																													
 356			3.762389																											-0.000000	0.002374																																													
 357			3.759980																											-0.000000	0.001657																																													
 358			3.758152																											-0.000000	0.001076																																													
 359			3.785343																											-0.028586	0.000644																																													
 360			3.874103																											-0.089729	0.000211																																													
 361			4.018387																											-0.145236	0.000177																																													
 362			4.167719																											-0.150234	0.000098																																													
 363			4.317061																											-0.150238	0.000062																																													
 364			4.466201																											-0.150221	0.000217																																													
 365			4.587033																											-0.122377	0.000652																																													
 366			4.627395																											-0.043092	0.001813																																													
 367			4.511175																											-0.000000	0.115294																																													
 368			4.339438																											-0.000000	0.170835																																													
 369			4.196876																											-0.000000	0.141694																																													
 370			4.092325																											-0.000000	0.103712																																													
 371			3.984113																											-0.000000	0.107393																																													
 372			3.843031																											-0.000000	0.140285																																													
 373			3.766443																											-0.000000	0.075819																																													
 374			3.760827																											-0.000000	0.004863																																													
 375			3.754858																											-0.000000	0.005217																																													
 376			3.748448																											-0.000000	0.005658																																													
 377			3.741833																											-0.000000	0.005866																																													
 378			3.735900																											-0.000000	0.005185																																													
 379			3.731565																											-0.000000	0.003588																																													
 380			3.728443																											-0.000000	0.002376																																													
 381			3.726038																											-0.000000	0.001659																																													
 382			3.735944																											-0.011727	0.001075																																													
 383			3.779255																											-0.044701	0.000644																																													
 384			3.874109																											-0.095822	0.000211																																													
 385			4.010721																											-0.137564	0.000178																																													
 386			4.160055																											-0.150234	0.000098																																													
 387			4.309389																											-0.150230	0.000063																																													
 388			4.435890																											-0.127581	0.000217																																													
 389			4.538499																											-0.104147	0.000652																																													
 390			4.561473																											-0.025696	0.001813																																													
 391			4.408570																											-0.000000	0.151991																																													
 392			4.236874																											-0.000000	0.170815																																													
 393			4.125787																											-0.000000	0.110239																																													
 394			4.051356																											-0.000000	0.073607																																													
 395			3.952599																											-0.000000	0.097947																																													
 396			3.837072																											-0.000000	0.114736																																													
 397			3.732750																											-0.000000	0.103555																																													
 398			3.669222																											-0.000000	0.062782																																													
 399			3.625770																											-0.000000	0.042719																																													
 400			3.610331																											-0.000000	0.014714																																													
 401			3.603733																											-0.000000	0.005876																																													
 402			3.597831																											-0.000000	0.005181																																													
 403			3.593524																											-0.000000	0.003588																																													
 404			3.594349																											-0.003916	0.002373																																													
 405			3.611908																											-0.019934	0.001656																																													
 406			3.654722																											-0.044612	0.001076																																													
 407			3.736845																											-0.083497	0.000644																																													
 408			3.874034																											-0.138148	0.000212																																													
 409			3.956751																											-0.083669	0.000177																																													
 410			4.042907																											-0.087046	0.000098																																													
