Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	TS_DEC_DIRECT_ELEC	TS_DEC_HP_ELEC	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_HIGH_TEMP	GAS_STORAGE	H2_STORAGE	DIESEL_STORAGE	GASOLINE_STORAGE	LFO_STORAGE	AMMONIA_STORAGE	METHANOL_STORAGE	CO2_STORAGE	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	GAS_STORAGE_in	GAS_STORAGE_out	H2_STORAGE_in	H2_STORAGE_out	DIESEL_STORAGE_in	DIESEL_STORAGE_out	GASOLINE_STORAGE_in	GASOLINE_STORAGE_out	LFO_STORAGE_in	LFO_STORAGE_out	AMMONIA_STORAGE_in	AMMONIA_STORAGE_out	METHANOL_STORAGE_in	METHANOL_STORAGE_out	CO2_STORAGE_in	CO2_STORAGE_out	
 231			87.402480																											-0.000001	0.301384																																													
 232			86.859471																											-0.000000	0.525529																																													
 233			86.090930																											-0.000001	0.751170																																													
 234			85.270867																											-0.000000	0.802845																																													
 235			84.457026																											-0.000001	0.796788																																													
 236			84.424864																											-0.000000	0.015271																																													
 237			84.382741																											-0.000000	0.025238																																													
 238			84.364941																											-0.000000	0.000924																																													
 239			84.347210																											-0.000000	0.000859																																													
 240			84.451983																											-0.121817	0.000175																																													
 241			84.652324																											-0.217378	0.000147																																													
 242			84.892169																											-0.256857	0.000081																																													
 243			85.146410																											-0.271272	0.000052																																													
 244			85.376699																											-0.247498	0.000180																																													
 245			85.507559																											-0.148474	0.000538																																													
 246			85.488926																											-0.000009	0.001540																																													
 247			85.465088																											-0.000000	0.006741																																													
 248			85.196013																											-0.000002	0.251984																																													
 249			85.084224																											-0.000000	0.094749																																													
 250			85.063650																											-0.000009	0.003566																																													
 251			85.043185																											-0.000414	0.003867																																													
 252			85.022338																											-0.000399	0.004237																																													
 253			85.001127																											-0.000007	0.004214																																													
 254			84.857380																											-0.000001	0.126747																																													
 255			84.539026																											-0.000001	0.301384																																													
 256			83.996589																											-0.000000	0.525529																																													
 257			83.228621																											-0.000001	0.751170																																													
 258			82.409130																											-0.000000	0.802845																																													
 259			81.595861																											-0.000001	0.796788																																													
 260			81.564271																											-0.000000	0.015271																																													
 261			81.522721																											-0.000000	0.025238																																													
 262			81.505493																											-0.000000	0.000924																																													
 263			81.488333																											-0.000000	0.000859																																													
 264			81.593678																											-0.121817	0.000175																																													
 265			82.637919																											-1.060708	0.000149																																													
 266			83.711031																											-1.089724	0.000084																																													
 267			84.805979																											-1.111746	0.000055																																													
 268			85.882932																											-1.094096	0.000182																																													
 269			86.867566																											-1.002353	0.000542																																													
 270			87.590469																											-0.741778	0.001502																																													
 271			87.962834																											-0.392976	0.003094																																													
 272			88.162442																											-0.221309	0.004108																																													
 273			88.468933																											-0.327755	0.003633																																													
 274			89.065406																											-0.617735	0.003568																																													
 275			89.715688																											-0.671965	0.003870																																													
 276			90.128399																											-0.434892	0.004238																																													
 277			90.750177																											-0.644020	0.004216																																													
 278			91.319883																											-0.591856	0.004000																																													
 279			91.586258																											-0.288941	0.004303																																													
 280			91.597375																											-0.034104	0.004669																																													
 281			91.344700																											-0.000004	0.234360																																													
 282			91.188382																											-0.000004	0.138053																																													
 283			91.335698																											-0.168517	0.002963																																													
 284			91.782637																											-0.467170	0.001963																																													
 285			92.425039																											-0.662130	0.001372																																													
 286			93.245853																											-0.840192	0.000892																																													
 287			94.218060																											-0.991391	0.000535																																													
 288			95.322542																											-1.123503	0.000177																																													
 289			95.520709																											-0.217378	0.000147																																													
 290			95.758380																											-0.256857	0.000081																																													
 291			96.010448																											-0.271272	0.000052																																													
 292			96.238564																											-0.247498	0.000180																																													
 293			96.367252																											-0.148474	0.000538																																													
 294			96.346447																											-0.000009	0.001540																																													
 295			96.320437																											-0.000000	0.006741																																													
 296			96.049191																											-0.000002	0.251984																																													
 297			95.935232																											-0.000000	0.094749																																													
 298			95.912488																											-0.000009	0.003566																																													
 299			95.889852																											-0.000414	0.003867																																													
 300			95.866836																											-0.000399	0.004237																																													
 301			95.843456																											-0.000007	0.004214																																													
 302			95.697541																											-0.000001	0.126747																																													
 303			95.377019																											-0.000001	0.301384																																													
 304			94.832415																											-0.000000	0.525529																																													
 305			94.062279																											-0.000001	0.751170																																													
 306			93.240622																											-0.000000	0.802845																																													
 307			92.425186																											-0.000001	0.796788																																													
 308			92.391431																											-0.000000	0.015271																																													
 309			92.347715																											-0.000000	0.025238																																													
 310			92.328322																											-0.000000	0.000924																																													
 311			92.308998																											-0.000000	0.000859																																													
 312			92.412178																											-0.121817	0.000175																																													
 313			92.480485																											-0.087863	0.001074																																													
 314			92.575147																											-0.114159	0.001000																																													
 315			92.761549																											-0.205927	0.001010																																													
 316			93.217189																											-0.475286	0.001094																																													
 317			93.757674																											-0.560525	0.001396																																													
 318			94.191987																											-0.455304	0.002240																																													
 319			94.508087																											-0.338735	0.003796																																													
 320			94.476754																											-0.000911	0.013342																																													
 321			94.445983																											-0.000785	0.012661																																													
 322			94.414976																											-0.000738	0.012856																																													
 323			94.383736																											-0.000675	0.013032																																													
 324			94.352307																											-0.000606	0.013158																																													
 325			94.320751																											-0.000563	0.013249																																													
 326			94.289227																											-0.000528	0.013188																																													
 327			94.257814																											-0.000460	0.013015																																													
