{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar;Hydro_dam
121;9.36E-05;0.000114155;6.77E-06;0.000114155;0;0.636;0;0.859361056;0;0.739344087
122;9.06E-05;0.000114155;3.75E-06;0.000114155;0;0.718;0;0.859361056;0;0.739344087
123;8.85E-05;0.000114155;2.38E-06;0.000114155;0;0.828;0;0.859361056;0;0.739344087
124;8.77E-05;0.000114155;8.30E-06;0.000114155;0;0.861;0;0.859361056;0;0.739344087
125;8.93E-05;0.000114155;2.49E-05;0.000114155;0;0.873;0;0.859361056;0;0.739344087
126;9.33E-05;0.000114155;6.93E-05;0.000114155;0;0.875;0;0.859361056;0;0.739344087
127;9.52E-05;0.000114155;1.43E-04;0.000114155;0.06666;0.879;0;0.859361056;0.009485239;0.739344087
128;1.04E-04;0.000114155;1.90E-04;0.000114155;0.51251;0.947;0;0.859361056;0.47396888;0.739344087
129;0.000112285;0.000114155;1.68E-04;0.000114155;6.93E-01;0.969;0;0.859361056;0.674411169;0.739344087
130;0.000115878;0.000114155;1.65E-04;0.000114155;0.81405;0.975;0;0.859361056;0.824478667;0.739344087
131;0.000119391;0.000114155;1.79E-04;0.000114155;0.88006;0.974;0;0.859361056;0.912110555;0.739344087
132;0.000118975;0.000114155;1.96E-04;0.000114155;0.89169;0.975;0;0.859361056;0.930974457;0.739344087
133;0.000116324;0.000114155;1.95E-04;0.000114155;0.76797;0.975;0;0.859361056;0.159819177;0.739344087
134;0.000119939;0.000114155;1.85E-04;0.000114155;0.34832;0.971;0;0.859361056;0.031990479;0.739344087
135;0.00012169;0.000114155;1.99E-04;0.000114155;0.55859;0.963;0;0.859361056;0.193621443;0.739344087
136;0.000120252;0.000114155;2.16E-04;0.000114155;0.06867;0.951;0;0.859361056;0.001172333;0.739344087
137;0.000118653;0.000114155;2.24E-04;0.000114155;0.20047;0.92;0;0.859361056;0.048696224;0.739344087
138;0.000125984;0.000114155;1.98E-04;0.000114155;0.07116;0.881;0;0.859361056;0;0.739344087
139;0.000139259;0.000114155;1.37E-04;0.000114155;0.00083;0.86;0;0.859361056;0;0.739344087
140;0.000138067;0.000114155;9.07E-05;0.000114155;0;0.819;0;0.859361056;0;0.739344087
141;0.000132486;0.000114155;6.33E-05;0.000114155;0;0.772;0;0.859361056;0;0.739344087
142;0.000123584;0.000114155;4.11E-05;0.000114155;0;0.655;0;0.859361056;0;0.739344087
143;0.000111144;0.000114155;2.46E-05;0.000114155;0;0.502;0;0.859361056;0;0.739344087
144;1.01E-04;0.000114155;8.08E-06;0.000114155;0;0.491;0;0.859361056;0;0.739344087
145;9.60E-05;0.000114155;6.77E-06;0.000114155;0;0.489;0;0.859361056;0;0.739344087
146;9.23E-05;0.000114155;3.75E-06;0.000114155;0;0.417;0;0.859361056;0;0.739344087
147;9.06E-05;0.000114155;2.38E-06;0.000114155;0;0.35;0;0.859361056;0;0.739344087
148;9.01E-05;0.000114155;8.30E-06;0.000114155;0;0.289;0;0.859361056;0;0.739344087
149;9.11E-05;0.000114155;2.49E-05;0.000114155;0;0.266;0;0.859361056;0;0.739344087
150;9.54E-05;0.000114155;6.93E-05;0.000114155;0;0.174;0;0.859361056;0;0.739344087
151;9.65E-05;0.000114155;1.43E-04;0.000114155;0.25663;0.228;0;0.859361056;0.233836015;0.739344087
152;1.05E-04;0.000114155;1.90E-04;0.000114155;0.51049;0.449;0;0.859361056;0.472592277;0.739344087
153;0.000113994;0.000114155;1.68E-04;0.000114155;6.93E-01;0.529;0;0.859361056;0.675281538;0.739344087
154;0.000117352;0.000114155;1.65E-04;0.000114155;0.80794;0.559;0;0.859361056;0.826254929;0.739344087
155;0.000118147;0.000114155;1.79E-04;0.000114155;0.87611;0.512;0;0.859361056;0.913780241;0.739344087
156;0.000117151;0.000114155;1.96E-04;0.000114155;0.88437;0.398;0;0.859361056;0.933425699;0.739344087
157;0.000113618;0.000114155;1.95E-04;0.000114155;0.84648;0.256;0;0.859361056;0.882553554;0.739344087
158;0.00011687;0.000114155;1.85E-04;0.000114155;0.51466;0.152;0;0.859361056;0.081565953;0.739344087
159;0.000117963;0.000114155;1.99E-04;0.000114155;0.61391;0.086;0;0.859361056;0.278011652;0.739344087
160;0.00011743;0.000114155;2.16E-04;0.000114155;0.40868;0.045;0;0.859361056;0.395262709;0.739344087
161;0.000115477;0.000114155;2.24E-04;0.000114155;0.18927;0.044;0;0.859361056;0.087400973;0.739344087
162;0.000120225;0.000114155;1.98E-04;0.000114155;0.06291;0.083;0;0.859361056;0;0.739344087
163;0.000138219;0.000114155;1.37E-04;0.000114155;0.00042;0.148;0;0.859361056;0;0.739344087
164;0.000137916;0.000114155;9.07E-05;0.000114155;0;0.2;0;0.859361056;0;0.739344087
165;0.000133545;0.000114155;6.33E-05;0.000114155;0;0.21;0;0.859361056;0;0.739344087
166;0.000124731;0.000114155;4.11E-05;0.000114155;0;0.21;0;0.859361056;0;0.739344087
167;0.000112019;0.000114155;2.46E-05;0.000114155;0;0.18;0;0.859361056;0;0.739344087
168;1.02E-04;0.000114155;8.08E-06;0.000114155;0;0.136;0;0.859361056;0;0.739344087
169;9.28E-05;0.000114155;6.77E-06;0.000114155;0;0.154;0;0.859361056;0;0.739344087
170;8.86E-05;0.000114155;3.75E-06;0.000114155;0;0.199;0;0.859361056;0;0.739344087
171;8.58E-05;0.000114155;2.38E-06;0.000114155;0;0.297;0;0.859361056;0;0.739344087
172;8.47E-05;0.000114155;8.30E-06;0.000114155;0;0.358;0;0.859361056;0;0.739344087
173;8.45E-05;0.000114155;2.49E-05;0.000114155;0;0.285;0;0.859361056;0;0.739344087
174;8.63E-05;0.000114155;6.93E-05;0.000114155;0;0.205;0;0.859361056;0;0.739344087
175;8.25E-05;0.000114155;1.43E-04;0.000114155;0.05352;0.219;0;0.859361056;0.003197272;0.739344087
176;8.45E-05;0.000114155;1.90E-04;0.000114155;0.1397;0.565;0;0.859361056;0.01084408;0.739344087
